,task,start,end
371,粘接预装台位33号,6405,6409
372,模块化组装7号,6412,6413
373,普通组装2类(BC车)20号,6436,6437
374,粘接预装台位33号,6474,6475
375,进车台位1号,6477,6478
376,粘接预装台位29号,6498,6500
377,进车台位1号,6501,6503
378,粘接预装台位33号,6523,6525
379,进车台位1号,6525,6528
380,粘接预装台位29号,6548,6550
381,粘接预装台位33号,6573,6577
382,模块化组装7号,6580,6581
383,普通组装2类(BC车)25号,6604,6605
384,粘接预装台位33号,6642,6643
385,进车台位1号,6645,6646
386,粘接预装台位29号,6666,6668
387,进车台位1号,6669,6671
388,粘接预装台位33号,6691,6693
389,进车台位1号,6693,6696
390,粘接预装台位29号,6716,6718
391,粘接预装台位33号,6741,6745
392,模块化组装7号,6748,6749
393,普通组装2类(BC车)14号,6772,6773
394,粘接预装台位33号,6810,6811
395,进车台位1号,6813,6814
396,粘接预装台位29号,6834,6836
397,进车台位1号,6837,6839
398,粘接预装台位33号,6859,6861
399,进车台位1号,6861,6864
400,粘接预装台位29号,6884,6886
401,粘接预装台位33号,6909,6913
402,模块化组装7号,6916,6917
403,普通组装2类(BC车)22号,6940,6941
404,粘接预装台位33号,6978,6979
405,进车台位1号,6981,6982
406,粘接预装台位29号,7002,7004
407,进车台位1号,7005,7007
408,粘接预装台位33号,7027,7029
409,进车台位1号,7029,7032
410,粘接预装台位29号,7052,7054
411,粘接预装台位33号,7077,7081
412,模块化组装7号,7084,7085
413,普通组装2类(BC车)26号,7108,7109
414,粘接预装台位33号,7146,7147
415,进车台位1号,7149,7150
416,粘接预装台位29号,7170,7172
417,进车台位1号,7173,7175
418,粘接预装台位33号,7195,7197
419,进车台位1号,7197,7200
420,粘接预装台位29号,7220,7222
421,粘接预装台位33号,7245,7249
422,模块化组装7号,7252,7253
423,普通组装2类(BC车)16号,7276,7277
424,粘接预装台位33号,7314,7315
425,进车台位1号,7317,7318
426,粘接预装台位29号,7338,7340
427,进车台位1号,7341,7343
428,粘接预装台位33号,7363,7365
429,进车台位1号,7365,7368
430,粘接预装台位29号,7388,7390
431,粘接预装台位33号,7413,7417
432,模块化组装7号,7420,7421
433,普通组装2类(BC车)23号,7444,7445
434,粘接预装台位33号,7482,7483
435,进车台位1号,7485,7486
436,粘接预装台位29号,7506,7508
437,进车台位1号,7509,7511
438,粘接预装台位33号,7531,7533
439,进车台位1号,7533,7536
440,粘接预装台位29号,7556,7558
441,粘接预装台位33号,7581,7585
442,模块化组装7号,7588,7589
443,普通组装2类(BC车)35号,7612,7613
444,粘接预装台位33号,7650,7651
445,进车台位1号,7653,7654
446,粘接预装台位29号,7674,7676
447,进车台位1号,7677,7679
448,粘接预装台位33号,7699,7701
449,进车台位1号,7701,7704
450,粘接预装台位29号,7724,7726
451,粘接预装台位33号,7749,7753
452,模块化组装7号,7756,7757
453,普通组装2类(BC车)18号,7780,7781
454,粘接预装台位33号,7818,7819
455,进车台位1号,7821,7822
456,粘接预装台位29号,7842,7844
457,进车台位1号,7845,7847
458,粘接预装台位33号,7867,7869
459,进车台位1号,7869,7872
460,粘接预装台位29号,7892,7894
461,粘接预装台位33号,7917,7921
462,模块化组装7号,7924,7925
463,普通组装2类(BC车)24号,7948,7949
464,粘接预装台位33号,7986,7987
465,进车台位1号,7989,7990
466,粘接预装台位29号,8010,8012
467,进车台位1号,8013,8015
468,粘接预装台位33号,8035,8037
469,进车台位1号,8037,8040
470,粘接预装台位29号,8060,8062
471,粘接预装台位33号,8085,8089
472,模块化组装7号,8092,8093
473,普通组装2类(BC车)12号,8116,8117
474,粘接预装台位33号,8154,8155
475,进车台位1号,8157,8158
476,粘接预装台位29号,8178,8180
477,进车台位1号,8181,8183
478,粘接预装台位33号,8203,8205
479,进车台位1号,8205,8208
480,粘接预装台位29号,8228,8230
481,粘接预装台位33号,8253,8257
482,模块化组装7号,8260,8261
483,普通组装2类(BC车)20号,8284,8285
484,粘接预装台位33号,8322,8323
485,进车台位1号,8325,8326
486,粘接预装台位29号,8346,8348
487,进车台位1号,8349,8351
488,粘接预装台位33号,8371,8373
489,进车台位1号,8373,8376
490,粘接预装台位29号,8396,8398
491,粘接预装台位33号,8421,8425
492,模块化组装7号,8428,8429
493,普通组装2类(BC车)25号,8452,8453
494,粘接预装台位33号,8490,8491
495,进车台位1号,8493,8494
496,粘接预装台位29号,8514,8516
497,进车台位1号,8517,8519
498,粘接预装台位33号,8539,8541
499,进车台位1号,8541,8544
500,粘接预装台位29号,8564,8566
501,粘接预装台位33号,8589,8593
502,模块化组装7号,8596,8597
503,普通组装2类(BC车)14号,8620,8621
504,粘接预装台位33号,8658,8659
505,进车台位1号,8661,8662
506,粘接预装台位29号,8682,8684
507,进车台位1号,8685,8687
508,粘接预装台位33号,8707,8709
509,进车台位1号,8709,8712
510,粘接预装台位29号,8732,8734
511,粘接预装台位33号,8757,8761
512,模块化组装7号,8764,8765
513,普通组装2类(BC车)22号,8788,8789
514,粘接预装台位33号,8826,8827
515,进车台位1号,8829,8830
516,粘接预装台位29号,8850,8852
517,进车台位1号,8853,8855
518,粘接预装台位33号,8875,8877
519,进车台位1号,8877,8880
520,粘接预装台位29号,8900,8902
521,粘接预装台位33号,8925,8929
522,模块化组装7号,8932,8933
523,普通组装2类(BC车)26号,8956,8957
524,粘接预装台位33号,8994,8995
525,进车台位1号,8997,8998
526,粘接预装台位29号,9018,9020
527,进车台位1号,9021,9023
528,粘接预装台位33号,9043,9045
529,进车台位1号,9045,9048
530,粘接预装台位29号,9068,9070
531,粘接预装台位33号,9093,9097
532,模块化组装7号,9100,9101
533,普通组装2类(BC车)16号,9124,9125
534,粘接预装台位33号,9162,9163
535,进车台位1号,9165,9166
536,粘接预装台位29号,9186,9188
537,进车台位1号,9189,9191
538,粘接预装台位33号,9211,9213
539,进车台位1号,9213,9216
540,粘接预装台位29号,9236,9238
541,粘接预装台位33号,9261,9265
542,模块化组装7号,9268,9269
543,普通组装2类(BC车)23号,9292,9293
544,粘接预装台位33号,9330,9331
545,进车台位1号,9333,9334
546,粘接预装台位29号,9354,9356
547,进车台位1号,9357,9359
548,粘接预装台位33号,9379,9381
549,进车台位1号,9381,9384
550,粘接预装台位29号,9404,9406
551,粘接预装台位33号,9429,9433
552,模块化组装7号,9436,9437
553,普通组装2类(BC车)35号,9460,9461
554,粘接预装台位33号,9498,9499
555,进车台位1号,9501,9502
556,粘接预装台位29号,9522,9524
557,进车台位1号,9525,9527
558,粘接预装台位33号,9547,9549
559,进车台位1号,9549,9552
560,粘接预装台位29号,9572,9574
561,粘接预装台位33号,9597,9601
562,模块化组装7号,9604,9605
563,普通组装2类(BC车)18号,9628,9629
564,粘接预装台位33号,9666,9667
565,进车台位1号,9669,9670
566,粘接预装台位29号,9690,9692
567,进车台位1号,9693,9695
568,粘接预装台位33号,9715,9717
569,进车台位1号,9717,9720
570,粘接预装台位29号,9740,9742
571,粘接预装台位33号,9765,9769
572,模块化组装7号,9772,9773
573,普通组装2类(BC车)24号,9796,9797
574,粘接预装台位33号,9834,9835
575,进车台位1号,9837,9838
576,粘接预装台位29号,9858,9860
577,进车台位1号,9861,9863
578,粘接预装台位33号,9883,9885
579,进车台位1号,9885,9888
580,粘接预装台位29号,9908,9910
581,粘接预装台位33号,9933,9937
582,模块化组装7号,9940,9941
583,普通组装2类(BC车)12号,9964,9965
584,粘接预装台位33号,10002,10003
585,进车台位1号,10005,10006
586,粘接预装台位29号,10026,10028
587,进车台位1号,10029,10031
588,粘接预装台位33号,10051,10053
589,进车台位1号,10053,10056
590,粘接预装台位29号,10076,10078
591,粘接预装台位33号,10101,10105
592,模块化组装7号,10108,10109
593,普通组装2类(BC车)20号,10132,10133
594,粘接预装台位33号,10170,10171
595,进车台位1号,10173,10174
596,粘接预装台位29号,10194,10196
597,进车台位1号,10197,10199
598,粘接预装台位33号,10219,10221
599,进车台位1号,10221,10224
600,粘接预装台位29号,10244,10246
601,粘接预装台位33号,10269,10273
602,模块化组装7号,10276,10277
603,普通组装2类(BC车)25号,10300,10301
604,粘接预装台位33号,10338,10339
605,进车台位1号,10341,10342
606,粘接预装台位29号,10362,10364
607,进车台位1号,10365,10367
608,粘接预装台位33号,10387,10389
609,进车台位1号,10389,10392
610,粘接预装台位29号,10412,10414
611,粘接预装台位33号,10437,10441
612,模块化组装7号,10444,10445
613,普通组装2类(BC车)14号,10468,10469
614,粘接预装台位33号,10506,10507
615,进车台位1号,10509,10510
616,粘接预装台位29号,10530,10532
617,进车台位1号,10533,10535
618,粘接预装台位33号,10555,10557
619,进车台位1号,10557,10560
620,粘接预装台位29号,10580,10582
621,粘接预装台位33号,10605,10609
622,模块化组装7号,10612,10613
623,普通组装2类(BC车)22号,10636,10637
624,粘接预装台位33号,10674,10675
